"id","document_id","item_id","item","required_qty","unit_of_measurement","rfq_no"
"3109","TD23120449","Item231204713","GLOVES LEATHER SHORT LENGTH","450","each","10253235"
"3110","TD23121287","Item231212207","A4 CUSTOMISED NOTEBOOK","100","each","10259128"
"3111","TD23122292","Item231222990","A5 BRANDED DIARIES","30","each","10260110"
"3112","TD23122288","Item231222895","BRANDED NOTE BOOKS","200","each","10260113"
"3113","TD23122240","Item231222804","A4 BRANDED DIARIES","250","each","10260116"
"3114","TD23122248","Item231222487","A2 DESK CALENDAR","500","each","10260123"
"3115","TD23122232","Item231222798","A2 WALL CALENDARS","1500","each","10260122"
"3116","TD23122859","Item23122818","KNIFE TRIMMING BLADES","300","each","10253930"
"3117","TD23122859","Item2312282","""BLADE, HACKSAW 300MM (12"""") X 12MM X 18","800","each","10253930"
"3118","TD23122859","Item231228264","HACKSAW FRAME 300MM","150","each","10253930"
"3119","TD23122859","Item23122837","STANLEY TRIMMING KNIVES","150","each","10253930"
"3120","TD23122941","Item231229236","KNIFE TRIMMING BLADES","300","each","10253930"
"3121","TD23122941","Item231229253","""BLADE, HACKSAW 300MM (12"""") X 12MM X 18","600","each","10253930"
"3122","TD23122941","Item231229848","HACKSAW FRAME 300MM","150","each","10253930"
"3123","TD23122941","Item231229401","STANLEY TRIMMING KNIVES","150","each","10253930"
"3124","TD2401047","Item240104990","BRANDED A5 DIARY","400","each","10260114"
"3125","TD24010458","Item240104473","A4 BRANDED NOTEBOOKS","100","each","10259128"
"3126","TD24010896","Item240108509","SLEEVE CRIMPING 150MM2","100","each","10261135"
"3127","TD24010896","Item240108481","SLEEVE CRIMPING 185MM2","100","each","10261135"
"3128","TD24011073","Item24011046","TAPE SCOTCH FILLED PUTTY","100","each","10261535"
"3129","TD24011177","Item240111779","TERM KIT 120-185MM2 I/D PILC","20","each","10261129"
"3130","TD24011141","Item240111155","TERM KIT 120-185MM2 O/D PILC","20","each","10261130"
"3131","TD2401114","Item240111518","TERM KIT 120-185MM2 I/D XLPE","20","each","10261131"
"3132","TD24011142","Item240111672","TERM KIT 120-185MM2 I/D XLPE","20","each","10261132"
"3133","TD24011132","Item240111627","J-KIT 120-185MM2 XLPE","20","each","10261133"
"3134","TD24011158","Item240111652","J-KIT 120-185MM2 PILC","20","each","10261134"
"3135","TD24011123","Item240111385","SLEEVE CRIMPING 150MM2","100","each","10261135"
"3136","TD24011123","Item24011177","SLEEVE CRIMPING 185MM2","100","each","10261135"
"3137","TD24011134","Item240111245","SLEEVE CRIMPING 120MM2","100","each","10261135"
"3138","TD24011134","Item240111481","SLEEVE CRIMPING 185MM2","100","each","10261135"
"3139","TD24011197","Item24011159","SLEEVE CRIMPING 150MM2","100","each","10261135"
"3140","TD24011197","Item240111349","SLEEVE CRIMPOING 185MM2","100","each","10261135"
"3141","TD24011129","Item240111936","BOLT & NUT M16X280","300","each","10239612"
"3142","TD24011120","Item240111708","INSUL ANCHOR BRACKET ","100","each","10259336"
"3143","TD24011152","Item240111456","CLAMP STRN 2 BOLT ","100","each","10259289"
"3144","TD24011147","Item240111588","INSUL SHACKLE","500","each","10259470"
"3145","TD24011160","Item24011187","PIN INSULATOR ","100","each","10259299"
"3146","TD24011160","Item240111950","INSULATOR PIN ","100","each","10259299"
"3147","TD2401117","Item240111746","D-FUSE MOUNT & FUSE 11KV","3","each","10255528"
"3148","TD2401117","Item240111940","FUSE CARRIER TUBE 11KV","3","each","10255528"
"3149","TD2401117","Item240111950","ELEMENT FUSE 1KV 10A","3","each","10255528"
"3150","TD2401117","Item240111716","ARRESTER  LIGHTNING 11KV","3","each","10255528"
"3151","TD2401117","Item240111558","ACB 250A","1","each","10255528"
"3152","TD2401117","Item240111823","GLAND CABLE SIZE 5","2","each","10255528"
"3153","TD2401117","Item240111215","LUG 150X12MM","10","each","10255528"
"3154","TD2401117","Item240111284","LUG 120X20MM","5","each","10255528"
"3155","TD2401117","Item240111889","LUG 16X12MM","5","each","10255528"
"3156","TD24011144","Item240111969","SLEEVE CRIMPING 150MM2","100","each","10261135"
"3157","TD24011144","Item240111152","SLEEVE CRIMPOING 185MM2","100","each","10261135"
"3158","TD24011244","Item240112562","cable 185mm2 4c cu pvc/swa","50","each","10261640"
"3159","TD24011617","Item240116978"," LIGHT BOXES 1.5M X 0.5M","4","each","10259156"
"3160","TD24011790","Item240117104","THERMAL TILL ROLLS 80*83MM","1000","each","10261616"
"3161","TD24011717","Item240117524","ROOF LEAKS REPAIRS","1","each","10261046"
"3162","TD24011738","Item240117537","ROOF LEAKS REPAIRS","1","each","10261046"
"3163","TD2401176","Item240117628","ROOF LEAKS REPAIRS","1","each","10261046"
"3164","TD24011727","Item24011719","ROOF LEAKS REPAIRS","1","each","10261046"
"3165","TD24011765","Item24011740","ROOF LEAKS REPAIRS","1","each","10261046"
"3166","TD24011748","Item240117436","LIGHT BOXES 1.5m x 0.5m","4","each","10259156"
"3167","TD24011716","Item240117215","ROOF LEAKS REPAIRS","1","each","10261046"
"3168","TD24011777","Item240117774","ROOF LEAKS REPAIRS","1","each","10261046"
"3169","TD24011793","Item24011776","J/KITS 120-185MM2 11KV 3C XLPE","8","each","10261541"
"3170","TD24011793","Item240117176","J/KITS 120-185MM2   3C 11KV PILC        3C 11KV PILC","8","each","10261541"
"3171","TD24011785","Item240117775","J/KITS 120-185MM2 11KV 3C XLPE","8","each","10261541"
"3172","TD24011785","Item240117275","J/KITS 120-185MM2   3C 11KV PILC        3C 11KV PILC","8","each","10261541"
"3173","TD24011742","Item240117377","J/KITS 120-185MM2 11KV 3C XLPE","8","each","10261541"
"3174","TD24011742","Item24011711","J/KITS 120-185MM2   3C 11KV PILC        3C 11KV PILC","8","each","10261541"
"3175","TD24011737","Item240117988","silica gel","50","kgs","10261046"
"3176","TD24011847","Item24011821","HP CARTRIDGES BLACK 410A CF410A","2","each","10255639"
"3177","TD24011847","Item240118519","HP CARTRIDGES CYAN 410A CF411A","2","each","10255639"
"3178","TD24011847","Item240118773","HP CARTRIDGES YELLOW 410A CF412A","2","each","10255639"
"3179","TD24011847","Item240118717","HP CARTRIDGES MAGENTA 410A CF413A","2","each","10255639"
"3180","TD24011839","Item240118858","ROOF LEAKS REPAIRS","1","each","10261046"
"3181","TD24012238","Item240122978","J KITS 120-185 MM 3C 11 KV XLPE","6","each","10262138"
"3182","TD24012238","Item240122603","J/KITS 120-185MM2 3C 11KV PILC","6","each","10262138"
"3183","TD24012238","Item240122380","SLEEVE CRIMPING 185MM2","60","each","10262138"
"3184","TD24012486","Item240124110","MCB S/P AC 60AMP","1000","each","10260417"
"3185","TD24012588","Item240125250","TAPE 18MM X0.18MM X20M PVC BLACK ADHESIVE","2000","each","10261711"
"3186","TD24012633","Item240126828","BOREHOLE DRILLING AND CASING","1","each","10261418"
"3187","TD24012672","Item24012645","J KITS 120-185 MM 3C 11 KV XLPE","6","each","10262138"
"3188","TD24012672","Item240126585","J/KITS 120-185MM2 3C 11KV PILC","6","each","10262138"
"3189","TD24012672","Item240126733","SLEEVE CRIMPING 185MM2","60","each","10262138"
"3190","TD24012617","Item240126103","WINDOW CLEANING","1","each","10261045"
"3191","TD24012695","Item240126334","FUMIGATION SERVICES","1","each","10261044"
"3192","TD24012740","Item240127847","FERRULE SHEAR BOLTS 50-240MM2","100","each","10261710"
"3193","TD24012784","Item240127399","FUSE FUSE HRC440V 400A WEDGE TYPE 3.25 CTRS","400","each","10254913"
