"id","document_id","item_id","sup_id","unit_price","vat","quoted_qty","bid_no","quote_date","rfq_no","total","bid_document"
"284","TD21121368","Item211213108","SUP174","95000","excl","2","2","2021-12-08","10216732","821000","bids/1639396062Xerox Scan_09122021132608.PDF"
"285","TD21121368","Item211213555","SUP174","53000","excl","2","2","2021-12-08","10216732","821000","bids/1639396062Xerox Scan_09122021132608.PDF"
"286","TD21121368","Item211213913","SUP174","35000","excl","2","2","2021-12-08","10216732","821000","bids/1639396062Xerox Scan_09122021132608.PDF"
"287","TD21121368","Item211213799","SUP174","40000","excl","2","2","2021-12-08","10216732","821000","bids/1639396062Xerox Scan_09122021132608.PDF"
"288","TD21121368","Item211213198","SUP174","77000","excl","2","2","2021-12-08","10216732","821000","bids/1639396062Xerox Scan_09122021132608.PDF"
"289","TD21121368","Item21121378","SUP174","150000","excl","1","2","2021-12-08","10216732","821000","bids/1639396062Xerox Scan_09122021132608.PDF"
"290","TD21121368","Item211213668","SUP775","19000","excl","2","3","2021-12-08","10216732","972800","bids/1639396126Xerox Scan_09122021132631.PDF"
"291","TD21121368","Item211213427","SUP775","25000","excl","2","3","2021-12-08","10216732","972800","bids/1639396126Xerox Scan_09122021132631.PDF"
"292","TD21121368","Item211213108","SUP775","115000","excl","2","3","2021-12-08","10216732","972800","bids/1639396126Xerox Scan_09122021132631.PDF"
"293","TD21121368","Item211213555","SUP775","64300","excl","2","3","2021-12-08","10216732","972800","bids/1639396126Xerox Scan_09122021132631.PDF"
"294","TD21121368","Item211213913","SUP775","41000","excl","2","3","2021-12-08","10216732","972800","bids/1639396126Xerox Scan_09122021132631.PDF"
"295","TD21121368","Item211213799","SUP775","47000","excl","2","3","2021-12-08","10216732","972800","bids/1639396126Xerox Scan_09122021132631.PDF"
"296","TD21121368","Item211213198","SUP775","90100","excl","2","3","2021-12-08","10216732","972800","bids/1639396126Xerox Scan_09122021132631.PDF"
"297","TD21121368","Item21121378","SUP775","170000","excl","1","3","2021-12-08","10216732","972800","bids/1639396126Xerox Scan_09122021132631.PDF"
"298","TD21121368","Item211213668","SUP15","30000","excl","2","4","2021-12-08","10216732","530000","bids/1639396180Xerox Scan_09122021132653.PDF"
"299","TD21121368","Item211213427","SUP15","25000","excl","2","4","2021-12-08","10216732","530000","bids/1639396180Xerox Scan_09122021132653.PDF"
"300","TD21121368","Item211213108","SUP15","50000","excl","2","4","2021-12-08","10216732","530000","bids/1639396180Xerox Scan_09122021132653.PDF"
"301","TD21121368","Item211213555","SUP15","35000","excl","2","4","2021-12-08","10216732","530000","bids/1639396180Xerox Scan_09122021132653.PDF"
"302","TD21121368","Item211213913","SUP15","15000","excl","2","4","2021-12-08","10216732","530000","bids/1639396180Xerox Scan_09122021132653.PDF"
"303","TD21121368","Item211213799","SUP15","40000","excl","2","4","2021-12-08","10216732","530000","bids/1639396180Xerox Scan_09122021132653.PDF"
"304","TD21121368","Item211213198","SUP15","30000","excl","2","4","2021-12-08","10216732","530000","bids/1639396180Xerox Scan_09122021132653.PDF"
