"document_id","item_required","qty","uom","id"
"RQ19112861","Pole changing 33kv line","15","each","1919"
"RQ19112813","Pole changing 33kv line","5","each","1920"
"RQ19112837","Pole changing 33kv line","6","each","1921"
"RQ1911288","Pole changing MV line","6","each","1922"
"RQ19112846","33kv Line maintenance","65","each","1923"
"RQ19112843","line maintenance, 11kv","27","each","1924"
"RQ19112816","MV Line maintanance","10","each","1925"
"RQ19112831","33kv Line maintenance","12","each","1926"
"RQ19112856","33kv Line maintenance","20","each","1927"
"RQ19112820","33kv Line maintenance","15","each","1928"
"RQ19112882","MV Line maintanance","12","each","1929"
"RQ19112920","New tyres size 245/75R15C","5","each","1930"
"RQ19112944","new tyres size 245/75RC for np300","5","each","1931"
"RQ19112942","new tyres size 245/75R15C for np300n","5","each","1932"
"RQ1912025","FIX AND SUPPLY BLINDS","1","each","1933"
"RQ19120263","OFFICE PARTITIONING","1","each","1934"
"RQ19120220","BONDPAPER","30","each","1935"
"RQ19120220","LEVER ARCH FILES","100","each","1936"
"RQ19120489","275W GRADE A PVA SOLAR PANELS","6","each","1937"
"RQ19120489","5000 VA 24 VOLTS INVETOR UPS WITH CHARGE CONTROLLER","1","each","1938"
"RQ19120489","200 AMP HOUR GEL BATTERIES","6","each","1939"
"RQ19120489","BATTERY CABIN","1","each","1940"
"RQ19120489","AUTOMATIC CHANGEOVER SWITCH","1","each","1941"
"RQ19120489","CABLING & TRUCKING","1","each","1942"
"RQ19120554","DEGREASER","300","litres","1943"
"RQ19120550","WASHING POWDER","100","kgs","1944"
"RQ1912053","MUTTON CLOTH","75","kgs","1945"
"RQ19120652","Powertel Services","1","each","1946"
"RQ1912093","8mm*140m chain","1","each","1947"
"RQ19121050"," new tyres 245/70R16 for f/n er2184 NP300","5","each","1948"
"RQ19121043"," tyres 245/70R16 for f/n er2184 np300","5","each","1949"
"RQ19121017"," 245/70R16 for np300 f/n er2156","5","each","1950"
"RQ19121076","245/70 R16 for f/n er2189 Isuzu KB","5","each","1951"
"RQ19121094","new tyres 11R 22.5 ","6","each","1952"
"RQ19121143","TISSUE PAPER 50'S","75","each","1953"
"RQ19121185","labour","1","each","1954"
"RQ19121219"," HP 971 ink cartridge ","1","each","1955"
"RQ19121291","971 ink cartridge","1","each","1956"
"RQ19121611","thermal till rolls","1","each","1957"
